Student ID,School,Gender,Game-Playing Frequency,Game-Playing Skill,Game-Playing Hours,Content Pre 1,Content Pre 2,Content Pre 3,Content Pre 4,Content Pre 5,Content Pre 6,Content Pre 7,Content Pre 8,Content Pre 9,Content Pre 10,Content Pre 11,Content Pre 12,Content Pre 13,Content Pre 14,Content Pre 15,Content Pre 16,Content Pre 17,Content Pre 18,Content Pre 19,Content Pre Total,BFI Open,BFI Conscientious,BFI Extraversion,BFI Agreeable,BFI Neuroticism,AGQ Mastery Approach,AGQ Mastery Avoid,AGQ Performance Approach,AGQ Performance Avoid,CERQ Self Blame,CERQ Acceptance,CERQ Rumination,CERQ Positive Refocusing,CERQ Planning,CERQ Positive Reappraisal,CERQ Putting into Perspective,CERQ Catastrophizing,CERQ Other-Blame,Game Soln Disease,Game Soln Object,Content Post 1,Content Post 2,Content Post 3,Content Post 4,Content Post 5,Content Post 6,Content Post 7,Content Post 8,Content Post 9,Content Post 10,Content Post 11,Content Post 12,Content Post 13,Content Post 14,Content Post 15,Content Post 16,Content Post 17,Content Post 18,Content Post 19,Content Post Total,Narrative 1,Narrative 2,Narrative 3,Narrative 4,Narrative 5,Narrative 6,Narrative 7,Narrative 8,Narrative 9,Narrative 10,Narrative 11,Narrative 12,Narrative 13,Narrative Total,IMI Interest Total,IMI Competence Total,IMI Effort Total,IMI Pressure Total,IMI Value Total,PQ Involvement,PQ Sensory Fidelity,PQ Adaptation / Immersion,PQ Interface Quality,PQ Total,Learning Gain,Normalized Learning Gain,Solved Mystery,CompletionTime
100-0059,AnonymousA,1,4,5,4,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,9,33,36,25,30,16,16,16,17,20,6,6,8,4,7,7,5,2,5,disease-Influenza,object-Milk,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,8,1,1,1,1,1,1,1,1,1,1,1,1,0,12,4.857142857,5.666666667,3.2,1.75,4.714285714,60,28,43,15,146,-1,-0.1,1,1572.150024
100-0060,AnonymousA,2,2,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,7,42,34,26,39,28,3,6,11,6,5,8,10,10,10,10,10,10,5,disease-Influenza,object-Egg,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,7,1,1,1,1,1,1,1,1,1,1,0,1,1,12,5.714285714,5,4,5,4,59,33,32,12,136,0,0,0,9999
100-0061,AnonymousA,2,3,3,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,11,41,31,30,40,28,13,15,16,15,5,7,5,6,6,8,7,5,5,disease-Influenza,object-Sandwich,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,8,1,1,1,1,1,1,1,1,1,1,1,1,1,13,6.571428571,6.833333333,7,6,7,67,35,41,14,157,-3,-0.375,1,2115.27002
100-0062,AnonymousA,2,5,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,29,23,36,34,25,15,13,11,13,7,6,7,8,10,8,4,5,3,disease-Salmonellosis,object-Egg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,1,1,1,1,0,0,0,1,7,3.714285714,3.5,4,2.5,3.857142857,57,31,30,10,128,1,0.058823529,0,9999
100-0063,AnonymousA,1,4,5,5,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,7,26,31,33,33,11,21,12,16,21,4,6,4,8,9,8,8,7,8,disease-Influenza,object-Sandwich,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,1,1,0,0,1,1,1,1,0,1,1,0,1,9,2.428571429,4,4,2,4,51,32,33,16,132,-3,-0.25,0,9999
100-0064,AnonymousA,2,2,3,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,13,33,31,23,33,28,16,8,8,16,8,7,7,6,7,9,8,5,2,disease-Salmonellosis,object-Milk,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,8,1,1,1,1,1,1,1,1,0,1,1,1,1,12,3.285714286,4.333333333,4.4,4.25,4,55,25,33,13,126,-5,-0.833333333,1,2193.824951
100-0065,AnonymousA,1,5,5,4,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,21,17,25,27,20,9,12,9,12,6,7,7,6,7,6,5,7,6,disease-Salmonellosis,object-Egg,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1,1,13,3.428571429,6.5,2.6,1.75,4.428571429,49,19,29,14,111,5,0.357142857,1,1880.669922
100-0066,AnonymousA,2,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,5,30,26,38,31,34,20,18,9,19,7,10,10,7,8,10,9,9,7,disease-Salmonellosis,object-Egg,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,9,0,1,1,0,1,1,0,1,1,0,0,1,0,7,1.571428571,1,3.8,5.75,3.714285714,44,17,32,14,107,4,0.285714286,0,9999
100-0067,AnonymousA,1,3,5,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,7,36,38,23,36,16,18,12,10,19,5,5,6,6,7,9,7,6,6,disease-Salmonellosis,object-Egg,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,10,1,1,1,1,1,1,1,1,1,1,1,0,0,11,4,4.5,4.2,3.75,3.571428571,52,35,51,11,149,3,0.25,0,9999
100-0068,AnonymousA,1,4,5,4,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,7,45,27,31,31,20,11,11,9,12,8,10,10,8,10,9,9,10,2,disease-Salmonellosis,object-Milk,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,1,0,1,0,1,0,4,4,3.333333333,4.6,4.5,4.142857143,50,28,34,10,122,0,0,0,9999
100-0069,AnonymousA,1,3,2,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,6,43,29,29,41,18,16,7,16,19,8,6,7,7,7,5,6,10,8,disease-Influenza,object-Milk,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,5,1,1,1,0,1,1,1,1,1,1,0,1,0,10,2.857142857,2.333333333,4.2,4.75,3.571428571,48,29,33,12,122,-1,-0.076923077,0,9999
100-0070,AnonymousA,2,2,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,6,33,27,35,32,28,15,11,16,18,7,9,7,9,8,9,8,6,4,disease-Influenza,object-Sandwich,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,9,0,0,1,1,1,0,1,1,1,1,0,0,1,8,5.714285714,3.833333333,5.6,6.25,3.857142857,52,27,42,12,133,3,0.230769231,0,9999
100-0071,AnonymousA,1,3,4,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,6,38,35,28,36,22,18,13,17,20,9,9,9,8,8,9,9,10,9,disease-Influenza,object-Sandwich,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,9,0,1,1,1,1,1,1,0,1,1,0,0,1,9,1.857142857,4.5,5.2,2.5,3.428571429,70,37,49,9,165,3,0.230769231,0,9999
100-0072,AnonymousA,1,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,33,33,32,32,25,10,15,14,11,7,7,7,7,6,7,7,6,6,disease-Salmonellosis,object-Egg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,1,1,1,0,1,1,1,1,0,0,0,0,8,4.285714286,3.666666667,3.2,4,3.714285714,41,25,34,13,113,0,0,0,9999
100-0073,AnonymousA,2,2,3,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,5,48,28,40,39,37,20,20,15,20,7,8,7,6,7,7,7,6,6,disease-Salmonellosis,object-Sandwich,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,5.285714286,4,4,5,4,48,24,32,12,116,-3,-0.214285714,0,9999
100-0074,AnonymousA,2,3,3,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,8,39,30,21,31,15,8,3,10,17,5,9,6,6,7,7,7,2,2,disease-Influenza,object-Sandwich,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,0,1,1,1,12,4,6.166666667,3.8,2.75,4.571428571,46,29,36,12,123,9,0.818181818,1,3291.780029
100-0075,AnonymousA,1,4,4,3,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,8,32,29,17,38,17,8,12,17,16,5,6,8,3,7,8,6,8,6,disease-Influenza,object-Sandwich,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,9,1,1,1,1,1,1,1,1,1,1,1,1,1,13,5.285714286,5.833333333,6,3.5,5.571428571,70,31,47,17,165,1,0.090909091,1,2597.35498
100-0076,AnonymousA,1,3,4,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,5,33,26,27,27,21,13,9,13,12,6,5,6,5,6,6,6,6,6,disease-Salmonellosis,object-Milk,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5,0,1,1,0,0,0,0,1,0,0,0,0,0,3,4.714285714,5.166666667,4.2,5,4,48,24,32,12,116,0,0,0,9999
100-0077,AnonymousA,2,3,4,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,8,38,43,31,43,25,21,21,21,21,10,10,6,7,9,10,7,7,2,disease-Salmonellosis,object-Milk,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,9,1,1,1,1,1,1,1,1,1,1,1,0,0,11,4,1,6.4,6,4.428571429,64,27,42,12,145,1,0.090909091,0,9999
100-0078,AnonymousA,1,4,5,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4,39,30,29,29,24,14,13,17,14,6,6,6,6,6,6,6,6,6,disease-Salmonellosis,object-Egg,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,1,1,1,0,1,0,0,1,0,0,1,7,5.428571429,3.333333333,2.4,2,4,51,35,32,12,130,2,0.133333333,0,9999
100-0079,AnonymousA,1,3,4,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,5,36,36,28,35,17,19,12,16,18,5,6,7,4,8,9,7,6,4,disease-Influenza,object-Egg,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,1,1,1,1,1,1,1,1,1,1,0,1,1,12,4.714285714,5.166666667,5.2,6,4,57,35,32,11,135,0,0,1,3318.569824
100-0080,AnonymousA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,disease-Salmonellosis,object-Egg,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,12,1,1,1,1,1,1,1,1,0,0,1,1,1,11,5.142857143,6,6.2,4.75,6.285714286,62,28,45,17,152,None,None,1,2579.879883
100-0081,AnonymousA,2,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,6,27,22,27,26,24,7,9,6,6,7,7,6,4,6,7,8,5,5,disease-Influenza,object-Milk,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,13,1,1,0,1,1,0,1,1,1,0,1,0,0,8,1.428571429,1,2,4.75,2.285714286,0,0,0,24,24,7,0.538461538,0,9999
100-0082,AnonymousA,1,5,5,5,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,8,34,30,29,35,21,21,3,21,9,2,6,6,10,10,6,2,6,6,disease-Influenza,object-Sandwich,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,1,0,1,1,1,1,1,1,1,0,0,1,0,9,7,5.833333333,7,2.75,7,80,40,55,4,179,-4,-0.363636364,0,9999
100-0083,AnonymousA,2,2,3,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,12,41,42,38,45,9,17,5,12,9,9,10,8,9,8,6,10,2,5,disease-Influenza,object-Sandwich,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,0,1,0,1,0,0,9,1.428571429,2.833333333,1.6,2,1.857142857,52,29,33,19,133,5,0.714285714,0,9999
100-0084,AnonymousA,1,5,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,36,27,31,30,32,21,21,21,21,10,10,10,10,10,10,10,10,10,disease-Salmonellosis,object-Sandwich,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,8,0,0,0,1,0,1,0,1,0,0,1,1,1,6,2.571428571,4.666666667,1,5.5,2,32,23,28,17,100,3,0.214285714,1,374.834991
100-0085,AnonymousA,2,2,5,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,6,46,31,20,35,23,20,10,8,18,6,7,6,2,10,9,5,3,2,disease-Influenza,object-Milk,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,9,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2.857142857,6,2.6,3,5,49,25,35,10,119,3,0.230769231,1,2128.889893
100-0086,AnonymousA,1,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,43,43,33,41,8,19,5,15,18,5,7,7,3,7,8,9,6,3,disease-Salmonellosis,object-Egg,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,11,1,1,1,1,1,1,1,1,1,1,1,1,1,13,6.571428571,5.833333333,7,1.25,7,80,34,53,16,183,9,0.529411765,0,9999
100-0087,AnonymousA,1,4,5,4,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,7,28,27,24,24,31,6,13,9,10,6,7,5,7,6,6,8,6,5,disease-Influenza,object-Milk,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,13,4.285714286,5.666666667,4.4,4.75,3.428571429,47,25,28,14,114,0,0,1,2316.27002
100-0088,AnonymousA,2,2,2,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,7,41,33,32,35,17,14,9,14,17,9,9,8,6,9,10,10,2,3,disease-Influenza,object-Milk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,None,1,3086.969971
100-0089,AnonymousA,1,3,4,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,8,34,27,35,29,29,14,12,11,11,4,6,4,8,5,6,4,7,6,disease-Influenza,object-Egg,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,8,1,1,1,0,1,1,1,1,1,0,0,0,0,8,4,3.666666667,3.6,5,4.142857143,42,23,27,16,108,0,0,0,9999
100-0090,AnonymousA,2,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5,35,34,33,32,19,15,15,12,17,5,7,7,5,8,9,7,5,4,disease-Salmonellosis,object-Milk,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,6,0,1,1,1,1,1,0,1,1,1,1,1,0,10,4,4.333333333,6,1.75,4,56,29,35,10,130,1,0.071428571,1,2715.64502
100-0091,AnonymousA,2,2,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,7,34,25,32,29,25,14,14,15,16,4,6,7,6,6,9,8,4,4,disease-Salmonellosis,object-Sandwich,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0,1,1,1,0,0,0,0,4,3.428571429,3.666666667,5.4,4.75,3.857142857,44,25,37,12,118,-3,-0.25,0,9999
100-0093,AnonymousA,1,5,5,5,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,5,23,27,21,30,20,21,11,15,20,6,8,8,6,6,7,10,6,5,disease-Influenza,object-Milk,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,6,0,1,1,0,1,1,0,1,0,0,0,0,1,6,3.857142857,2.666666667,6.6,3.5,4,53,35,37,8,133,1,0.071428571,0,9999
100-0095,AnonymousA,2,2,2,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,7,28,24,25,28,23,12,15,10,12,6,6,6,6,6,6,6,6,5,disease-Salmonellosis,object-Sandwich,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,9,1,1,1,1,1,0,1,1,1,1,1,0,1,11,3.142857143,3.333333333,4,5,3.857142857,48,23,32,12,115,2,0.166666667,0,9999
100-0096,AnonymousA,2,2,2,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,6,38,34,28,30,29,19,21,16,20,10,10,9,10,10,10,9,10,9,disease-Influenza,object-Sandwich,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,5,1,0,1,1,1,1,1,1,1,1,0,1,0,10,7,3,6.6,5.75,7,73,42,54,3,172,-1,-0.076923077,0,9999
100-0097,AnonymousA,1,4,5,5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,6,37,30,25,36,12,17,11,15,10,6,8,7,5,7,9,7,5,8,disease-Influenza,object-Milk,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,5,1,1,1,0,1,1,1,1,1,0,0,0,0,8,4.285714286,3.5,5.2,5.25,4,49,24,33,13,119,-1,-0.076923077,0,9999
100-0099,AnonymousA,1,3,4,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,9,39,28,27,33,12,10,8,15,12,7,8,5,5,8,8,9,3,5,disease-Influenza,object-Egg,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,10,1,0,1,1,1,1,1,1,1,0,0,0,0,8,5.714285714,4.166666667,5,3.25,4,65,36,44,13,158,1,0.1,0,9999
100-0100,AnonymousA,1,5,3,3,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,5,32,35,27,40,13,19,6,17,21,6,10,9,10,10,10,10,8,7,disease-Influenza,object-Milk,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,8,1,1,1,1,1,1,1,1,0,1,1,1,1,12,7,5.333333333,7,2.75,7,73,39,50,12,174,3,0.214285714,0,9999
100-0101,AnonymousA,1,5,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,5,30,27,23,27,24,12,12,12,12,6,6,6,6,6,6,6,6,6,disease-Salmonellosis,object-Milk,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.666666667,4.6,4.25,3,50,18,38,13,119,1,0.071428571,0,9999
100-0102,AnonymousA,1,4,3,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,5,24,22,33,39,12,3,3,7,4,9,10,4,2,5,5,9,3,2,disease-Influenza,object-Milk,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,8,0,1,1,1,1,1,1,1,0,1,0,1,1,10,5,6,3.6,3.5,3.857142857,53,32,32,11,128,3,0.214285714,1,2466.704834
100-0103,AnonymousA,1,3,4,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,8,28,32,35,33,17,15,6,14,15,4,4,7,7,5,5,4,6,5,disease-Salmonellosis,object-Sandwich,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,1,1,0,1,1,1,1,0,1,10,3.285714286,2.166666667,4.6,3.5,2.428571429,54,24,32,12,122,-6,-0.545454545,0,9999
100-0105,AnonymousA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,disease-Salmonellosis,object-Egg,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,3,2.285714286,1.333333333,3.2,4,0,0,0,0,24,24,None,None,0,9999
100-0106,AnonymousA,2,3,4,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,8,33,33,28,26,19,16,13,10,10,4,6,6,7,8,5,8,4,2,disease-Influenza,object-Sandwich,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,6,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1.428571429,2.166666667,4,5,3.142857143,51,21,26,12,110,-2,-0.181818182,0,9999
100-0107,AnonymousA,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,7,33,35,24,45,26,17,3,12,8,6,8,5,4,6,10,4,9,2,disease-Influenza,object-Sandwich,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,10,1,1,1,1,1,1,1,1,0,0,1,0,1,10,6.571428571,5.166666667,6.8,5.75,6.285714286,65,33,46,17,161,3,0.25,0,9999
100-0108,AnonymousA,2,1,2,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,8,31,29,35,36,17,13,8,7,9,5,8,6,7,7,6,6,4,4,disease-Influenza,object-Egg,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,11,0,1,1,0,0,0,1,1,1,0,0,0,0,5,3.857142857,2.5,5.2,3,3.714285714,0,0,0,24,24,3,0.272727273,0,9999
100-0109,AnonymousA,1,2,3,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,7,31,29,28,33,18,11,13,11,10,5,6,7,6,6,5,6,6,6,disease-Salmonellosis,object-Sandwich,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,1,1,1,1,0,0,0,0,7,4,3.333333333,4.6,4.25,3.142857143,44,21,32,14,111,-4,-0.333333333,0,9999
100-0110,AnonymousA,2,1,4,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,6,24,25,23,20,24,12,12,12,12,6,6,6,6,6,6,6,6,6,disease-Influenza,object-Egg,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,6,1,0,1,0,0,1,0,1,0,0,0,0,1,5,4,4,4,5,4,48,24,32,12,116,0,0,0,9999
100-0111,AnonymousA,2,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,5,24,26,26,34,14,11,12,7,14,5,9,7,6,4,5,8,4,6,disease-Salmonellosis,object-Sandwich,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,9,0,1,1,0,1,1,1,1,1,1,0,1,1,10,2.285714286,1.5,3.6,4.25,7,46,29,27,13,115,4,0.285714286,0,9999
100-0112,AnonymousA,2,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,9,37,38,25,26,23,17,16,16,6,7,5,8,4,8,7,6,8,4,disease-Influenza,object-Egg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,17,1,1,1,1,1,1,1,1,1,0,0,1,1,11,4,3.166666667,4.4,4.5,4.714285714,31,20,31,14,96,8,0.8,0,9999
100-0113,AnonymousA,1,3,3,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,6,39,22,32,24,40,11,16,18,11,6,4,8,8,8,4,6,4,8,disease-Influenza,object-Sandwich,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,6,1,1,1,1,1,1,0,1,0,1,0,1,1,10,5.571428571,3.166666667,6.8,5.25,2.142857143,47,21,23,12,103,0,0,0,9999
100-0114,AnonymousA,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,33,24,23,26,19,12,11,8,11,6,5,6,7,7,4,6,6,6,disease-Influenza,object-Egg,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,9,1,1,1,1,1,1,1,0,1,0,0,1,1,10,4.714285714,3.833333333,4,2,1.428571429,55,25,30,12,122,6,0.375,1,2271.540039
100-0115,AnonymousA,1,3,4,2,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,12,42,28,30,35,17,14,9,9,17,6,8,6,8,7,8,9,5,5,disease-Salmonellosis,object-Sandwich,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,15,1,1,1,1,1,1,0,1,0,1,0,1,1,10,4.714285714,4.666666667,3.8,2.75,5,52,27,33,13,125,3,0.428571429,1,2502.599854
100-0116,AnonymousA,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,5,28,29,39,27,23,3,9,8,3,6,10,9,9,4,9,10,3,10,disease-Salmonellosis,object-Egg,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,13,1,1,1,1,1,1,1,1,1,1,0,1,1,12,3.285714286,4.5,4.4,6.75,5,49,26,32,9,116,8,0.571428571,1,2984.099854
100-0117,AnonymousA,2,3,4,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,10,42,23,38,31,24,15,10,6,11,6,6,7,8,10,6,5,8,4,disease-Influenza,object-Sandwich,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,8,1,1,1,1,1,1,1,1,1,0,0,1,0,10,4.428571429,2.333333333,5.8,5.25,5.857142857,58,33,44,12,147,-2,-0.222222222,0,9999
100-0118,AnonymousA,2,3,4,2,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,8,44,30,30,40,26,15,15,6,6,4,8,10,7,10,10,10,4,2,disease-Salmonellosis,object-Milk,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,10,1,1,1,0,1,1,1,1,1,1,0,0,1,10,7,6,7,4.25,7,84,42,56,3,185,2,0.181818182,0,9999
100-0120,AnonymousA,1,3,4,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,6,43,29,36,36,19,10,12,17,17,6,4,9,7,9,10,5,9,3,disease-Influenza,object-Egg,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6,1,1,1,1,0,0,1,0,0,0,1,1,0,7,2.428571429,3.833333333,4.6,4,3.714285714,45,24,26,15,110,0,0,1,3049.649902
100-0121,AnonymousA,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,6,31,32,33,35,30,15,12,12,18,6,10,6,4,6,6,8,6,4,disease-Salmonellosis,object-Sandwich,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,6,1,1,1,0,1,1,0,1,1,1,0,0,1,9,4.428571429,1.5,4,5,3.571428571,57,27,23,21,128,0,0,0,9999
